gen_total_loss,gen_gan_loss,gen_l1_loss,disc_loss
9.867208,0.87067807,8.99653,1.3621836
9.760777,0.73072267,9.030055,1.3951833
9.688281,0.7491389,8.939142,1.3930647
9.645343,0.7140913,8.931252,1.3795035
9.989438,1.0904579,8.89898,1.2655087
9.598643,0.5652956,9.033348,1.5251359
9.697075,0.68355805,9.013516,1.4434749
9.7849865,0.82077974,8.964207,1.3339076
9.644961,0.703324,8.941637,1.444886
9.73644,0.98239994,8.75404,1.2867639
9.487897,0.6209427,8.866954,1.5117133
9.661923,0.84938085,8.812543,1.3453122
9.58754,0.8222194,8.76532,1.3278708
9.482678,0.65474916,8.8279295,1.4984696
9.608919,0.86944604,8.739473,1.3712157
9.293762,0.65389585,8.639866,1.4003221
9.638296,1.0604382,8.577858,1.2650185
9.666956,0.7590497,8.907907,1.4799476
9.56901,0.53550005,9.03351,1.657826
9.694157,1.0468571,8.6473,1.2358757
9.473874,0.5149564,8.958918,1.6638932
9.3445215,0.6836306,8.660891,1.3986878
9.431059,1.0059348,8.425124,1.1948805
9.45448,0.8847185,8.569761,1.3663363
9.323384,0.6740925,8.649292,1.4651017
9.344699,0.6944616,8.650237,1.4983773
9.227436,0.5851592,8.642277,1.5166477
9.460402,1.0707814,8.38962,1.3068291
9.444239,0.6835162,8.760722,1.5356336
9.242214,0.75405735,8.488157,1.4397693
9.249346,0.80324847,8.446097,1.3190782
9.451432,0.8442959,8.607137,1.4288439
9.157249,0.7503333,8.406917,1.3967774
9.202663,0.6842614,8.518402,1.4457448
9.50761,1.1219684,8.385642,1.3256097
9.076432,0.62243015,8.454002,1.5199938
9.199312,0.70390195,8.49541,1.4516275
9.086082,0.79268545,8.293397,1.3475647
9.194631,0.90116656,8.293464,1.3665359
9.136264,0.6398476,8.496416,1.5174778
8.964964,0.63242096,8.332543,1.473645
9.235675,0.83039105,8.405284,1.4293271
9.096338,0.689396,8.406942,1.53005
9.198212,0.68881696,8.509395,1.5538762
9.179586,0.80567455,8.373912,1.3238428
9.166592,0.7000067,8.466585,1.539815
