epoch,loss,lr,output_layer_1_csi133,output_layer_1_csi74,output_layer_1_loss,output_layer_1_pod133,output_layer_1_pod74,output_layer_1_sucr133,output_layer_1_sucr74,output_layer_csi133,output_layer_csi74,output_layer_loss,output_layer_pod133,output_layer_pod74,output_layer_sucr133,output_layer_sucr74,val_loss,val_output_layer_1_csi133,val_output_layer_1_csi74,val_output_layer_1_loss,val_output_layer_1_pod133,val_output_layer_1_pod74,val_output_layer_1_sucr133,val_output_layer_1_sucr74,val_output_layer_csi133,val_output_layer_csi74,val_output_layer_loss,val_output_layer_pod133,val_output_layer_pod74,val_output_layer_sucr133,val_output_layer_sucr74
14,1.5071792701880138,0.001,0.07299821,0.36497772,1.2853149,0.07813153,0.42466056,0.73313165,0.74449277,0.07299821,0.36497772,0.22186433,0.07813153,0.42466056,0.73313165,0.74449277,2.7375108567873636,0.33251488,0.5391267,2.4430041,0.53514683,0.7323301,0.46991527,0.6711987,0.33251488,0.5391267,0.29450673,0.53514683,0.7323301,0.46991527,0.6711987
15,1.4931608817974726,0.001,0.07924181,0.36909014,1.273,0.08571383,0.42930025,0.7332767,0.7453407,0.07924181,0.36909014,0.22016093,0.08571383,0.42930025,0.7332767,0.7453407,2.6044121380647023,0.2893723,0.53349257,2.3225586,0.410697,0.6741833,0.5020027,0.7188604,0.2893723,0.53349257,0.28185335,0.410697,0.6741833,0.5020027,0.7188604
16,1.4764542013406754,0.001,0.087124296,0.3750231,1.259834,0.094660126,0.43918645,0.7147611,0.7415367,0.087124296,0.3750231,0.21662009,0.094660126,0.43918645,0.7147611,0.7415367,2.6089144986867905,0.30758172,0.53112626,2.3233953,0.4544652,0.683535,0.4943187,0.7042258,0.30758172,0.53112626,0.2855191,0.4544652,0.683535,0.4943187,0.7042258
17,1.4725618814428647,0.001,0.09324922,0.3917225,1.2606761,0.10253739,0.4601223,0.7019566,0.7430368,0.09324922,0.3917225,0.21188563,0.10253739,0.4601223,0.7019566,0.7430368,2.525350716114044,0.2594163,0.5334896,2.264336,0.31878787,0.6592301,0.5910569,0.7364474,0.2594163,0.5334896,0.26101467,0.31878787,0.6592301,0.5910569,0.7364474
18,1.4770222154259682,0.001,0.08964053,0.3910144,1.2615812,0.098459356,0.45829192,0.7051034,0.7468107,0.08964053,0.3910144,0.21544111,0.098459356,0.45829192,0.7051034,0.7468107,2.5518284753958387,0.29101807,0.54755795,2.2803283,0.4024738,0.7206416,0.5182951,0.69476193,0.29101807,0.54755795,0.27150047,0.4024738,0.7206416,0.5182951,0.69476193
19,1.4619252813855805,0.001,0.10084702,0.39954746,1.253443,0.112443514,0.47187567,0.69740033,0.74243146,0.10084702,0.39954746,0.20848212,0.112443514,0.47187567,0.69740033,0.74243146,2.5387727850675583,0.23753032,0.501323,2.2795997,0.26365122,0.5876584,0.71239233,0.7734429,0.23753032,0.501323,0.25917318,0.26365122,0.5876584,0.71239233,0.7734429
20,1.4445897350708643,0.001,0.10127187,0.401407,1.2385583,0.11256753,0.4749593,0.69026077,0.7406854,0.10127187,0.401407,0.2060315,0.11256753,0.4749593,0.69026077,0.7406854,2.5059419109423957,0.2420559,0.51327544,2.2406106,0.28381473,0.60409003,0.6295154,0.773221,0.2420559,0.51327544,0.26533124,0.28381473,0.60409003,0.6295154,0.773221
21,1.4435575380921364,0.001,0.10608279,0.40724412,1.2385696,0.1196,0.481322,0.69049513,0.7456788,0.10608279,0.40724412,0.2049879,0.1196,0.481322,0.69049513,0.7456788,2.4964768360058467,0.2690122,0.52388203,2.2360194,0.33031595,0.6447562,0.6008873,0.7359921,0.2690122,0.52388203,0.26045728,0.33031595,0.6447562,0.6008873,0.7359921
22,1.456304446955522,0.001,0.10051021,0.40677243,1.2487639,0.11280997,0.48121578,0.6905569,0.7444193,0.10051021,0.40677243,0.20754054,0.11280997,0.48121578,0.6905569,0.7444193,2.4941988561550774,0.24663012,0.5311899,2.241722,0.2804185,0.64708066,0.6775331,0.74774206,0.24663012,0.5311899,0.25247663,0.2804185,0.64708066,0.6775331,0.74774206
23,1.4238325657447177,0.001,0.106046185,0.41448215,1.2236246,0.12031782,0.4922129,0.6791205,0.74293673,0.106046185,0.41448215,0.2002081,0.12031782,0.4922129,0.6791205,0.74293673,2.451747093995412,0.2803486,0.5231103,2.2013788,0.3361696,0.6344917,0.6358542,0.74876726,0.2803486,0.5231103,0.2503683,0.3361696,0.6344917,0.6358542,0.74876726
24,1.434505024254322,0.001,0.10835466,0.41579223,1.2337296,0.12161808,0.49007434,0.68745,0.7493829,0.10835466,0.41579223,0.20077537,0.12161808,0.49007434,0.68745,0.7493829,2.510449080467224,0.25219452,0.4952693,2.2494855,0.282983,0.5720295,0.70335925,0.78668475,0.25219452,0.4952693,0.26096344,0.282983,0.5720295,0.70335925,0.78668475
25,1.4179462150732678,0.001,0.11103831,0.41607678,1.2195777,0.12596148,0.49226037,0.68272495,0.74684346,0.11103831,0.41607678,0.1983687,0.12596148,0.49226037,0.68272495,0.74684346,2.5002970880270006,0.20177007,0.5396285,2.2477236,0.21760315,0.674984,0.73958147,0.7288134,0.20177007,0.5396285,0.25257367,0.21760315,0.674984,0.73958147,0.7288134
26,1.4196921686331432,0.001,0.11269291,0.42595768,1.220991,0.12873018,0.50491303,0.6864046,0.7519391,0.11269291,0.42595768,0.19870116,0.12873018,0.50491303,0.6864046,0.7519391,2.4980117187897366,0.29508924,0.5347117,2.2356896,0.39071977,0.6762403,0.557814,0.7189684,0.29508924,0.5347117,0.2623222,0.39071977,0.6762403,0.557814,0.7189684
27,1.397328051030636,0.001,0.11770445,0.42543614,1.2034748,0.13652952,0.5071175,0.6708511,0.7454693,0.11770445,0.42543614,0.19385323,0.13652952,0.5071175,0.6708511,0.7454693,2.466924238006274,0.29998046,0.54827523,2.2184896,0.3707948,0.6875844,0.61516213,0.7298182,0.29998046,0.54827523,0.24843451,0.3707948,0.6875844,0.61516213,0.7298182
28,1.4030679681897165,0.001,0.11408794,0.42841846,1.2079216,0.13103037,0.50799227,0.6794368,0.75268704,0.11408794,0.42841846,0.19514619,0.13103037,0.50799227,0.6794368,0.75268704,2.448527498245239,0.25932947,0.53595185,2.204752,0.29466128,0.6619303,0.6872176,0.7374941,0.25932947,0.53595185,0.24377576,0.29466128,0.6619303,0.6872176,0.7374941
29,1.4039081675807634,0.001,0.11690239,0.4361742,1.2118833,0.13443416,0.5161544,0.67545044,0.7548633,0.11690239,0.4361742,0.1920248,0.13443416,0.5161544,0.67545044,0.7548633,2.453064632018407,0.28846127,0.54085815,2.205513,0.35137856,0.6641569,0.62222946,0.74429333,0.28846127,0.54085815,0.24755147,0.35137856,0.6641569,0.62222946,0.74429333
30,1.397575056552887,0.001,0.11792949,0.43891495,1.2055696,0.13637608,0.5219672,0.6691563,0.75255144,0.11792949,0.43891495,0.19200546,0.13637608,0.5219672,0.6691563,0.75255144,2.4336149579286577,0.24778295,0.52477956,2.183138,0.28275132,0.62513375,0.67610955,0.76568884,0.24778295,0.52477956,0.25047702,0.28275132,0.62513375,0.67610955,0.76568884
